track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
A Brand New Day (BTS World Original Soundtrack) [Pt. 2],BTS,205020,0.339,0.804,0.498,0.000236,8,0.18,-7.387,0,0.0571,105.008,4,0.704,50,spotify:track:4g4ME9bHxuhzZMfNHlHlb5
Lights,BTS,292773,0.112,0.625,0.663,0,5,0.105,-5.115,1,0.0302,98.998,4,0.398,55,spotify:track:44vXWYTcdrejrIQZEoHzl8
Snapping,CHUNG HA,213164,0.0706,0.751,0.726,3.42e-06,8,0.278,-3.499,0,0.038,104.914,4,0.581,0,spotify:track:7JCi89HGiURxFpr6NITY7q
Say My Name,ATEEZ,222024,0.212,0.634,0.9,0,6,0.317,-2.614,0,0.0583,152.968,4,0.623,59,spotify:track:2UP7KnRSvc4taXbjOoSX0f
Devil,CLC,177000,0.034,0.79,0.888,4.48e-06,10,0.0783,-3.589,0,0.0479,148.028,4,0.946,53,spotify:track:3aG0gbuvZ1VeVm68d4J6Yq
Dope,BTS,240021,0.0272,0.579,0.896,1.02e-06,10,0.352,-2.781,0,0.224,153.991,4,0.678,0,spotify:track:4TiKZrN7gtc62SUiufpFCM
Singularity,BTS,196998,0.554,0.775,0.271,0.00285,1,0.112,-9.131,0,0.092,104.001,3,0.204,0,spotify:track:3gpU0uqDonMBKEcJu4Rzsf
Airplane pt.2,BTS,218615,0.0268,0.769,0.817,9.95e-05,0,0.084,-4.092,0,0.0339,139.979,4,0.866,0,spotify:track:1trFxVLL8WKhYap543e74l
Euphoria,BTS,228615,0.394,0.637,0.799,0,2,0.0921,-4.519,1,0.0338,104.995,4,0.562,1,spotify:track:3p6hnejEQYXkiTO1lAzVc0
Regular - Korean Version,NCT 127,217707,0.237,0.733,0.801,0,9,0.287,-5.339,0,0.0765,133.998,4,0.878,49,spotify:track:2lAxhE5s3x7OS9sfhsgT1F
Senorita,(G)I-DLE,197616,0.0159,0.782,0.808,4.33e-05,0,0.331,-3.139,1,0.0362,120.021,4,0.42,57,spotify:track:0q6boCcLaWYPIy2vOsksFg
Peek-A-Boo,Red Velvet,189050,0.0868,0.839,0.902,0.00257,1,0.272,-3.612,0,0.0536,114.953,4,0.639,66,spotify:track:42tFTth2jcF7iSo0RBjfJF
FLASH,X1,211320,0.029,0.674,0.91,0,7,0.342,-2.898,0,0.0594,132.04,4,0.599,0,spotify:track:1q3C6brbmRrULTyo2mseKF
ICY,ITZY,191142,0.0324,0.801,0.904,3.1e-05,2,0.182,-2.819,1,0.0834,124.979,4,0.814,0,spotify:track:7zFBtYAVURF3bUVqEQ6UUu
HIT,SEVENTEEN,203493,0.0881,0.615,0.904,0,9,0.117,-3.955,0,0.221,130.047,4,0.692,0,spotify:track:0xHgclG2TeqIzB8N3Wb5rP
HANN (Alone),(G)I-DLE,205820,0.059,0.709,0.718,0,6,0.167,-3.315,0,0.0312,104.971,4,0.24,59,spotify:track:7gr57cYekMWriyJYbT7oZ4
BANG BANG BANG,BIGBANG,220238,0.0192,0.694,0.832,0,5,0.355,-3.038,0,0.0598,135.011,4,0.424,0,spotify:track:0QIRm9sUkGnezGznkWCqCo
Love Shot,EXO,200306,0.0702,0.689,0.678,0,5,0.0889,-4.287,0,0.119,145.883,4,0.335,71,spotify:track:0yB4jrSwN0bFtFRDR5vyMj
Violeta,IZ*ONE,200913,0.00373,0.715,0.88,0,7,0.104,-2.94,1,0.0685,115.012,4,0.669,0,spotify:track:0ahbzg4GCq3wJzUM3cjS3N
BTS Cypher 4,BTS,294463,0.00533,0.817,0.797,7.77e-06,1,0.0551,-4.395,0,0.084,119.977,4,0.362,0,spotify:track:1QWxddJmOhQb1vDdyTipMR
SOLO,JENNIE,169567,0.0861,0.751,0.642,0,3,0.0953,-5.165,0,0.087,95.045,4,0.388,69,spotify:track:2wVDWtLKXunswWecARNILj
DDU-DU DDU-DU,BLACKPINK,209355,0.0313,0.671,0.859,0,4,0.267,-3.922,0,0.0833,139.931,4,0.39,0,spotify:track:2aI2k39nfa3KFsa4JclQzw
ME,CLC,193253,0.022,0.752,0.804,1.76e-05,11,0.0865,-3.512,0,0.0656,146.943,4,0.795,51,spotify:track:7w3mCZJZbfXzNebD5vktMI
