track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
ミルククラウン・オン・ソーネチカ (feat. 花里みのり&日野森雫&初音ミク),MORE MORE JUMP!,215880,0.0217,0.608,0.987,0,9,0.218,-2.428,1,0.0415,127.46,4,0.959,43,spotify:track:6GltlWUC3Yf8XxrarB9s6z
地球最後の告白を (feat. 桐谷遥&日野森雫&巡音ルカ),MORE MORE JUMP!,264053,0.0313,0.488,0.94,0,10,0.453,-4.68,1,0.15,95.02,4,0.472,39,spotify:track:0DsiQQyLNAU3c1r2nkWww6
FREELY TOMORROW,Mitchie M,240867,0.0178,0.648,0.931,2.52e-06,6,0.222,-2.545,1,0.0321,129.015,4,0.933,44,spotify:track:2JgyM0s5hTINiVaqJNMkVq
ダブルラリアット,Agoaniki,205000,0.248,0.551,0.917,0,7,0.351,-1.404,1,0.0316,138.026,4,0.643,27,spotify:track:3ZCA0UwO63EJAnstJ80pCN
The Disappearance of Hatsune Miku,dj-Jo,285635,0.0456,0.505,0.964,0.0273,1,0.673,-2.042,1,0.12,119.98,4,0.385,41,spotify:track:1Pz7RU28wARhLVtxsZxVR6
Bad Apple!! feat.nomico,nomico,317391,1.63e-05,0.487,0.753,0.000715,1,0.0977,-3.184,0,0.031,138.009,4,0.245,51,spotify:track:57JRZbE80MLsYbmb24cPee
アブノーマリティ・ダンシンガール,ぐちり,208004,0.069,0.522,0.898,8.83e-05,2,0.288,-5.476,0,0.0553,109.968,4,0.275,55,spotify:track:3sWcYSiFPCL5CNzU0H5Wau
ジャンキーナイトタウンオーケストラ,すりぃ,213000,0.0471,0.535,0.977,0,1,0.192,-2.149,1,0.246,145.126,4,0.605,40,spotify:track:3ASzfo5SRD3TioeUWJbHse
ツギハギスタッカート,toa,250360,0.555,0.898,0.777,0,7,0.312,-7.245,1,0.0566,138.987,4,0.934,49,spotify:track:0V7RxFamMkLN6tXR7S2t1W
えれくとりっく・えんじぇぅ,Yasuo,197167,0.27,0.366,0.987,0.0129,1,0.392,-2.301,0,0.115,150.027,4,0.726,46,spotify:track:2NuZgqzYhbvoP2IHpt1W7D
Systematic Love,Camellia,299293,0.0286,0.573,0.909,0,6,0.287,-3.675,0,0.183,135.985,4,0.395,28,spotify:track:4vdUlcT5MBLITNBput9WBs
愛Dee,Mitchie M,288027,0.00579,0.587,0.987,0.0576,6,0.373,-2.507,1,0.0631,128.021,4,0.842,36,spotify:track:1MytGyxmiRweA6GmXsMJ3A
Magical Girl and Chocolate,PinocchioP,187600,0.0866,0.646,0.863,0,6,0.861,-7.107,0,0.0531,150.086,4,0.886,41,spotify:track:12shJ1oIZnCG5ZZD8HjQVi
Ghost Rule,DECO*27,210000,0.0279,0.564,0.894,0,2,0.281,-4.596,1,0.0601,104.955,4,0.472,57,spotify:track:1OAp6qN5KmoGUQ2edICKsC
MONSTER,KIRA,213139,0.00363,0.641,0.813,0.00123,4,0.0744,-4.298,0,0.0312,118.005,4,0.59,53,spotify:track:08DlU63itukHK9nQQUvTYW
Party×Party,Hitoshizuku and Yama,219000,0.015,0.554,0.886,0,0,0.342,-3.576,0,0.0745,105.971,4,0.762,36,spotify:track:0ZmoP8er16GcUglbOdSgoY
SHOW OFF - VOCALOID ver.,和田たけあき,199583,0.0109,0.552,0.856,0,6,0.308,-4.921,0,0.15,94.868,4,0.943,34,spotify:track:7yY243juxrErsRwgFNIzij
リンリンシグナル,Dios/signalP,241520,0.185,0.621,0.977,0.000219,2,0.0454,-1.686,1,0.0502,124.076,4,0.903,16,spotify:track:7aAyeMcsviCTSCEyVmN4sp
PaIII.REVOLUTION,Yunosuke,257934,0.0743,0.484,0.98,1.98e-06,7,0.348,-2.623,1,0.102,170.018,4,0.651,25,spotify:track:2hrOdO5hgmhG71SFfiYN71
Rollin’ Girl,wowaka,194000,0.00466,0.498,0.848,0,0,0.0753,-3.091,0,0.038,97.516,4,0.319,54,spotify:track:5VJPBUVqxzLWmzzlJZy4r2
PaIII.INCEPTION,Yunosuke,271484,0.00658,0.448,0.958,0,6,0.315,-3.085,1,0.181,195.97,4,0.19,17,spotify:track:6XRUJj5ffBnZUqOfsGdls8
砂の惑星 ( + 初音ミク ),Kenshi Yonezu,240027,0.0252,0.507,0.94,0,10,0.152,-3.264,0,0.0927,94.874,4,0.917,49,spotify:track:3aYz5EBaRTWLpsfyUIsQyX
What's up? Pop! (feat. 初音ミク),Capchii,162091,0.00823,0.24,0.995,0.0253,1,0.288,-2.83,1,0.345,190.251,4,0.571,46,spotify:track:4cTLdiBHGZbnVduyq6BqpA
テレキャスタービーボーイ - long ver.,すりぃ,164500,0.154,0.492,0.911,0,1,0.365,-2.803,1,0.174,181.954,4,0.963,40,spotify:track:34PWkiTDmG9lAJ3leUGOri
Who?,Azari,116719,0.0144,0.803,0.595,0.0103,11,0.105,-8.088,0,0.0409,128.008,4,0.779,52,spotify:track:6K13hIU8J8NSSKMfLWu8sn
トリコロージュ,煮ル果実,261231,0.0134,0.64,0.904,1e-05,1,0.228,-3.512,0,0.0401,129.99,4,0.745,40,spotify:track:6TcGRtvOlMsh7kJHTnYxm8
MACHINEGUN POEM DOLL,cosMo@Bousou-P,140527,0.0101,0.631,0.838,2.49e-05,5,0.132,-7.607,0,0.0607,109.943,4,0.838,46,spotify:track:0xly7rh0DZqVxI8Jmn7sid
悪ノ召使,mothy,290213,0.805,0.628,0.779,0,0,0.261,-3.234,0,0.0404,120.032,4,0.347,40,spotify:track:4ulM7t5Dp0bkDXNdfNdxGR
ワールズエンド・ダンスホール -MIKUNOPOLIS in LOS ANGELES Live-,wowaka,223280,0.0211,0.363,0.962,3.14e-05,3,0.935,-4.356,0,0.181,171.05,4,0.468,42,spotify:track:3mMurBEHetvgoEOJRa3biN
Ladylike,KIRA,205714,0.0253,0.664,0.853,2.53e-06,6,0.311,-3.689,0,0.038,112.013,4,0.639,33,spotify:track:79Ge8EPSwRDvfhtEG9ZjC8
スキキライ,HoneyWorks,285813,0.0158,0.559,0.78,0,0,0.143,-1.158,1,0.0416,120.008,4,0.486,33,spotify:track:43571bfzMoPeXhUCVWayue
メランコリック,Junky,217880,0.0148,0.473,0.909,0.000119,5,0.402,-2.348,1,0.0461,139.987,3,0.684,42,spotify:track:2damFh3XZdKCS7STVInOPo
悪ノ娘,mothy,277686,0.158,0.535,0.716,1.91e-06,9,0.0937,-3.596,0,0.0278,140.032,4,0.615,44,spotify:track:03XONBRA5fulEuMs7gNQ05
Rokuchonen to ichiya monogatari,kemu,215013,0.000642,0.591,0.945,0.0058,11,0.115,-3.223,0,0.136,93.02,4,0.548,39,spotify:track:6F1dWmY6wDqLTXb3Omt1Oz
威風堂々 - ver.D/D,UMETORA,215538,0.0292,0.69,0.97,5.59e-06,5,0.103,-3.208,0,0.0771,130.067,4,0.524,39,spotify:track:65VI9MZUZIpNQJbGmNKmIp
愛して 愛して 愛して,Kikuo,252000,0.0862,0.605,0.842,3.08e-06,8,0.106,-4.747,1,0.0509,115.008,3,0.35,65,spotify:track:3ty4jnVIJ9My8ZnXFMc0Fg
アカツキアライヴァル,Last Note.,282240,0.00514,0.513,0.957,2.68e-05,8,0.155,-4.498,0,0.0835,124.987,4,0.571,28,spotify:track:3BFnhJw3PvOhqMtRedHfL1
World Is Mine,ryo (supercell),253701,0.0736,0.454,0.897,0,5,0.524,-2.16,0,0.0386,165.002,4,0.699,50,spotify:track:6CyxNJ5vtMLVFNxzpn9euR
魔法みたいなミュージック! (feat. 初音ミク),OSTER project,265143,0.558,0.559,0.84,0,9,0.18,-2.725,1,0.0325,104.934,4,0.792,38,spotify:track:4Cm1crfy5GQw1OiEuFjAXO
TONDEMO-WONDERZ,sasakure.UK,195823,0.179,0.671,0.913,0,0,0.304,-4.205,1,0.0561,172.063,4,0.96,48,spotify:track:4hrhv3LGlhO0qK21zWeHgW
ハッピーシンセサイザ,EasyPop,236582,0.0354,0.621,0.94,0,5,0.125,-2.298,1,0.0291,126.993,4,0.943,43,spotify:track:5rphHpZnxY9EGg8CdWSXPp
LUVORATORRRRRY!,Reol,204187,0.0169,0.679,0.951,0.0882,6,0.0176,-3.066,0,0.147,128.008,4,0.945,49,spotify:track:1AMzUKhF0vCFHZTx8H7OS4
ルカルカ★ナイトフィーバー -MIKU EXPO 2014 in INDONESIA Live-,Samfree,202086,0.00783,0.381,0.996,0,5,0.42,-3.345,0,0.201,160.016,4,0.283,46,spotify:track:1qfh55N9dvFU1ESAJ3jFQG
泡沫未来 (feat. 初音ミク),加賀(ネギシャワーP),171955,0.453,0.592,0.877,0,4,0.0644,-2.6,1,0.0404,178.973,4,0.733,34,spotify:track:1dV1V1xgkrnWE1GcK5fsdw
villain,Teniwoha,200392,0.00628,0.312,0.876,7.86e-05,7,0.244,-3.819,1,0.422,201.981,4,0.745,51,spotify:track:5KE5i73iG4A7h8OyqyIaZK
