track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
I Don't Wanna Die,The Unicorns,123500,0.7,0.61,0.433,0.0149,9,0.212,-10.045,1,0.0887,101.732,3,0.611,37,spotify:track:6jYx1PzbDvbrYkj4x4MwYc
True Love Will Find You in the End,Daniel Johnston,111171,0.948,0.551,0.174,1.05e-05,10,0.107,-12.116,0,0.0358,118.656,4,0.135,50,spotify:track:6fEjOPaZoxQl3oha9GDJAN
We're Not Gonna Take It,Twisted Sister,219667,0.0127,0.502,0.924,0,4,0.162,-6.299,1,0.0503,149.186,4,0.922,70,spotify:track:1hlveB9M6ijHZRbzZ2teyh
Chlorine,Twenty One Pilots,324467,0.0735,0.609,0.674,0.06,10,0.345,-7.388,0,0.0548,90.009,4,0.315,71,spotify:track:23OXdR7YuUBVWh5hSnYJau
We're Going To Be Friends,The White Stripes,142227,0.687,0.533,0.459,0,7,0.0773,-5.499,1,0.0277,97.213,4,0.386,0,spotify:track:1N883b1C3trjGcx2h4E99B
Locked Out,Daddy Issues,223120,0.0319,0.234,0.526,8.82e-06,8,0.381,-8.424,1,0.0328,174.575,4,0.208,0,spotify:track:5OHqaWsEAgox1gE6ix7FK3
"Mozart: Symphony No. 40 in G Minor, K. 550: I. Molto allegro",Wolfgang Amadeus Mozart,432546,0.975,0.355,0.188,0.859,7,0.122,-18.089,0,0.0369,113.537,4,0.214,45,spotify:track:6OC0v9yU90ME5DW2o1skKr
Sick Shit,Together Pangea,246947,3.9e-05,0.263,0.853,0.362,0,0.0839,-4.532,1,0.0727,120.982,4,0.355,45,spotify:track:14q1CWouLEjFT6zu5re8hR
Token,Fernweh,245539,0.682,0.677,0.266,0,10,0.109,-13.285,1,0.0343,64.974,4,0.148,21,spotify:track:3MD3WS3uUgiPWhTETYQ9UO
Haunted,Laura Les,102007,0.000654,0.51,0.817,0.0344,9,0.146,-8.666,1,0.0373,169.481,4,0.547,66,spotify:track:1toNKayLMeCcVlsLGXJl7n
Carmelita,Warren Zevon,214747,0.618,0.735,0.364,0.000129,4,0.102,-13.774,1,0.028,94.031,4,0.546,47,spotify:track:7hIdRDgUBPbqiQ7duhCyux
Freaks,Surf Curse,147062,3.84e-05,0.345,0.941,0.633,9,0.0511,-9.918,1,0.0466,179.626,4,0.407,81,spotify:track:7EkWXAI1wn8Ii883ecd9xr
Explöded Diper,Löded Diper,84236,0.252,0.535,0.881,0,7,0.778,-8.261,1,0.0513,99.036,4,0.428,0,spotify:track:2ZvkxSzjMGkKlH7BaIY8BM
Gimme Some Truth - Remastered 2010,John Lennon,197813,0.106,0.561,0.783,0.0214,5,0.0812,-8.878,1,0.0366,133.518,4,0.768,42,spotify:track:3d2oiHuHm3rftzRDPeL5LU
Cielito Lindo,Mariachi Vargas De Tecalitlán,221773,0.409,0.263,0.507,3.64e-05,0,0.355,-4.921,1,0.0314,185.437,3,0.716,0,spotify:track:65b45IKXxKaHOGzP1oQtKR
Tuesday's Gone,Lynyrd Skynyrd,450227,0.0778,0.232,0.615,5.68e-06,9,0.0601,-8.636,1,0.0295,146.488,3,0.41,60,spotify:track:64sn7wgJfeQKY3Jisnl59w
Dead Love,Dogheart,231891,0.00844,0.246,0.849,0.0264,1,0.124,-5.383,0,0.0494,183.984,4,0.406,0,spotify:track:7ttWsJhi6rMUFhiNxYaEca
Lose It,SWMRS,240533,0.334,0.792,0.41,2.19e-05,5,0.106,-10.141,1,0.0492,112.043,4,0.561,50,spotify:track:0Ceozg27V0Ws9jgQixD8fr
