track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Medieval Theme,Christophe Héral,123375,0.741,0.697,0.294,0.0115,5,0.172,-13.509,0,0.0305,95.988,4,0.36,28,spotify:track:6oUFDBoUxYkmCa75KFDsIY
The Lights And Buzz - 2015 Remastered,Jack's Mannequin,216093,0.105,0.284,0.868,0,0,0.0974,-3.485,1,0.0482,170.11,4,0.522,29,spotify:track:7pw7YBfcX0F3e0Pm4vkO0F
Put Your Records On,Corinne Bailey Rae,213539,0.162,0.737,0.502,3.71e-06,9,0.181,-7.871,1,0.0355,96.067,4,0.582,34,spotify:track:2dEJE18eoskLm4bjSW6kmY
Better (featuring Hezekiah Walker),Hezekiah Walker,270590,0.267,0.645,0.804,0,1,0.409,-4.113,0,0.113,98.706,4,0.607,0,spotify:track:4fSbCSo7erme4znnnsSmeL
Immortal,Yung Lean,147547,0.0335,0.707,0.293,0.000549,8,0.147,-10.769,1,0.0361,123.997,4,0.0966,0,spotify:track:4qPmhXTeazY6gjDBNc2eKu
The Pornographer's Dream,Northstar,297640,0.000245,0.46,0.923,0.00296,9,0.168,-5.919,1,0.048,148.994,4,0.345,25,spotify:track:4nAUvYtqgbdrebQoSFyjDQ
"Hymns Mash-Up: How Great Thou Art / It Is Well / Holy, Holy, Holy / Great Is Thy Faithfulness",Anthem Lights,167625,0.869,0.239,0.229,0,2,0.0758,-6.637,1,0.0308,169.762,4,0.284,13,spotify:track:3E1giIHkweamS4K3DRNvhF
She Doesn't Mind,Sean Paul,227787,0.000624,0.718,0.776,5.3e-06,7,0.207,-5.208,0,0.0693,120.015,4,0.622,67,spotify:track:4odiyU3myG29Ld0wurMfE8
Ben's Song,Da Vinci's Notebook,11800,0.977,0,0.104,0,7,0.119,-9.308,1,0,0,0,0,0,spotify:track:3mviGvUGUp1Pii6qm5uAdv
Blessings,Lecrae,231053,0.00373,0.753,0.609,0,0,0.347,-4.381,1,0.117,140.304,4,0.439,47,spotify:track:56vMywhKow2JM8lW6iLn7x
Crash Years,The New Pornographers,246573,0.283,0.68,0.805,0.000591,5,0.36,-6.393,1,0.0319,125.676,4,0.791,0,spotify:track:4a7W6GaMSkRhDJxjJGdjDb
Call Ticketron,Run The Jewels,198640,0.112,0.831,0.655,0.000401,7,0.157,-9.948,1,0.278,120.021,4,0.517,0,spotify:track:7pGEmglfZd4S3ZUt9idnxP
Waiting For Love,Avicii,230613,0.298,0.577,0.741,0,6,0.142,-3.83,0,0.0501,128.081,4,0.581,0,spotify:track:6nsLzJfvp5OLd4mgqUJkpq
Drinkin' Problem,Midland,220800,0.055,0.622,0.763,8.91e-06,9,0.313,-6.4,1,0.0263,102.0,4,0.621,66,spotify:track:1vBpwxsLVwaR4evBIaFmqD
Loving Her Was Easier (Than Anything I'll Ever Do Again),Willie Nelson,350600,0.936,0.485,0.18,0.402,4,0.337,-17.775,1,0.0381,135.948,4,0.283,17,spotify:track:7rOlDNZrL5oiMrtHWRamGQ
Nowhere Town,Billy Currington,222760,0.0223,0.657,0.77,0.000372,6,0.0737,-4.921,1,0.0342,97.991,4,0.774,23,spotify:track:1Df9kGigOmOSZuqeBb5iEG
Viva La Revolution,The Adicts,228747,0.00835,0.501,0.737,2.38e-06,11,0.0713,-7.183,1,0.0328,103.386,4,0.965,39,spotify:track:4PMaqWwW6hilTls8202lHE
The Demand,Tommy Swisher,230688,0.114,0.664,0.463,9.39e-05,1,0.114,-10.399,0,0.254,128.037,4,0.114,0,spotify:track:1e411jlHDPQb94SB8gWuPM
